ventana,rareza_rho,umbral_tau,estado,alerta,card_S,card_U,card_R
1,0.025546,0.000000,CALIBRANDO,0,4415791,64051688,63938882
2,0.093066,0.000000,CALIBRANDO,0,4658833,64372460,63938882
3,0.116535,0.000000,CALIBRANDO,0,4949372,64515658,63938882
4,0.175485,0.000000,CALIBRANDO,0,5144955,64841747,63938882
5,0.200248,0.300000,CALIBRANDO,0,5372097,65014634,63938882
6,0.225467,0.300000,MONITOREO,0,5541514,65188309,63938882
7,0.218305,0.300000,MONITOREO,0,5759817,65196280,63938882
8,0.260465,0.300000,MONITOREO,0,5874871,65469082,63938882
9,0.309917,0.300000,MONITOREO,1,6033933,65808902,63938882
10,0.289880,0.300000,MONITOREO,0,6205497,65737734,63938882
11,0.329941,0.300000,MONITOREO,1,6345087,66032386,63938882
12,0.329485,0.300000,MONITOREO,1,6491422,66077708,63938882
13,0.304826,0.300000,MONITOREO,1,6598170,65950176,63938882
14,0.303321,0.300000,MONITOREO,1,6440275,65892352,63938882
15,0.329522,0.300000,MONITOREO,1,6298215,66014283,63938882
16,0.304967,0.300000,MONITOREO,1,6200349,65829783,63938882
17,0.274943,0.300000,MONITOREO,0,6061020,65605315,63938882
18,0.293355,0.300000,MONITOREO,0,5903773,65670785,63938882
19,0.215262,0.300000,MONITOREO,0,5710192,65168069,63938882
20,0.207153,0.300000,MONITOREO,0,5563503,65091381,63938882
21,0.170650,0.300000,MONITOREO,0,5334209,64849167,63938882
22,0.160335,0.300000,MONITOREO,0,5145748,64763926,63938882
23,0.105779,0.300000,MONITOREO,0,4920758,64459397,63938882
24,0.084111,0.300000,MONITOREO,0,4681904,64332682,63938882
25,0.028389,0.300000,MONITOREO,0,4412725,64064157,63938882
