ventana,rareza_rho,umbral_tau,estado,alerta,card_S,card_U,card_R
1,0.011888,0.000000,CALIBRANDO,0,14164547,2135052970,2134884579
2,0.038504,0.000000,CALIBRANDO,0,14434471,2135440368,2134884579
3,0.030966,0.000000,CALIBRANDO,0,14865451,2135344909,2134884579
4,0.074535,0.000000,CALIBRANDO,0,14917335,2135996447,2134884579
5,0.029965,0.106359,CALIBRANDO,0,15362396,2135344909,2134884579
6,0.023244,0.106359,MONITOREO,0,15456454,2135243844,2134884579
7,0.063739,0.106359,MONITOREO,0,15769240,2135889702,2134884579
8,0.075050,0.106359,MONITOREO,0,15863132,2136075107,2134884579
9,0.059651,0.106359,MONITOREO,0,16096600,2135844760,2134884579
10,0.074355,0.106359,MONITOREO,0,16162441,2136086345,2134884579
11,0.082079,0.106359,MONITOREO,0,16421592,2136232446,2134884579
12,0.094484,0.106359,MONITOREO,0,16466380,2136440394,2134884579
13,0.089039,0.106359,MONITOREO,0,16526496,2136356086,2134884579
14,0.111710,0.106359,MONITOREO,1,16544027,2136732713,2134884579
15,0.103326,0.106359,MONITOREO,0,16471802,2136586543,2134884579
16,0.091704,0.106359,MONITOREO,0,16168917,2136367327,2134884579
17,0.085000,0.106359,MONITOREO,0,15857201,2136232446,2134884579
18,0.068877,0.106359,MONITOREO,0,15979604,2135985210,2134884579
19,0.059749,0.106359,MONITOREO,0,15600272,2135816673,2134884579
20,0.064040,0.106359,MONITOREO,0,15432100,2135872849,2134884579
21,0.045670,0.106359,MONITOREO,0,15243799,2135580765,2134884579
22,0.054531,0.106359,MONITOREO,0,14929609,2135698712,2134884579
23,0.073748,0.106359,MONITOREO,0,14695598,2135968355,2134884579
24,0.004641,0.106359,MONITOREO,0,14512298,2134951932,2134884579
25,0.000000,0.106359,MONITOREO,0,13998689,2134884579,2134884579
