ventana,rareza_rho,umbral_tau,estado,alerta,card_S,card_U,card_R
1,0.000000,0.000000,CALIBRANDO,0,10629949,832164355,832164355
2,0.070381,0.000000,CALIBRANDO,0,10866288,832929137,832164355
3,0.067095,0.000000,CALIBRANDO,0,11065883,832906818,832164355
4,0.149319,0.000000,CALIBRANDO,0,11502922,833881957,832164355
5,0.051503,0.228620,CALIBRANDO,0,11731315,832768553,832164355
6,0.081805,0.228620,MONITOREO,0,11814067,833130810,832164355
7,0.143216,0.228620,MONITOREO,0,12123920,833900689,832164355
8,0.174200,0.228620,MONITOREO,0,12210130,834291359,832164355
9,0.148216,0.228620,MONITOREO,0,12500782,834017166,832164355
10,0.160466,0.228620,MONITOREO,0,12604261,834186909,832164355
11,0.191791,0.228620,MONITOREO,0,12798053,834618912,832164355
12,0.204187,0.228620,MONITOREO,0,12995985,834817971,832164355
13,0.184295,0.228620,MONITOREO,0,12825334,834527995,832164355
14,0.187623,0.228620,MONITOREO,0,12725810,834552009,832164355
15,0.135677,0.228620,MONITOREO,0,12747868,833893945,832164355
16,0.101230,0.228620,MONITOREO,0,12536223,833433394,832164355
17,0.123014,0.228620,MONITOREO,0,12458522,833696932,832164355
18,0.120489,0.228620,MONITOREO,0,12321899,833649004,832164355
19,0.140237,0.228620,MONITOREO,0,12039453,833852737,832164355
20,0.078723,0.228620,MONITOREO,0,11840945,833096514,832164355
21,0.075144,0.228620,MONITOREO,0,11610276,833036798,832164355
22,0.056924,0.228620,MONITOREO,0,11454212,832816380,832164355
23,0.050343,0.228620,MONITOREO,0,11255292,832730979,832164355
24,0.004347,0.228620,MONITOREO,0,10985720,832212113,832164355
25,0.015454,0.228620,MONITOREO,0,10597091,832328118,832164355
