ventana,rareza_real,modo,rareza_estimada_hll,umbral_dinamico,segundos_procesamiento,memoria_ram_mb
1,0.0348736097126473,CONTROL,0.05916309412900756,0.2841765433491398,32.932353019714355,72.6015625
2,0.0480871715136998,CONTROL,0.2122717382259147,0.2841765433491398,36.34417676925659,72.6015625
3,0.0460230564354985,CONTROL,0.0973452746416339,0.2841765433491398,35.654902935028076,72.7265625
4,0.0300471694867034,CONTROL,0.211164075676286,0.2841765433491398,35.89949178695679,72.7265625
5,0.0107313747225686,CONTROL,0.0,0.2841765433491398,36.02582120895386,72.7265625
6,0.0008576827457071,CONTROL,0.0,0.2841765433491398,36.266592264175415,72.7265625
7,0.0069598985108854,CONTROL,0.03675163985398327,0.2841765433491398,36.2273645401001,72.7265625
8,0.0249999491579198,CONTROL,0.1725278762959848,0.2841765433491398,36.4720516204834,72.7265625
9,0.0430400334491313,CONTROL,0.23612279325523583,0.2841765433491398,37.103049993515015,72.7265625
10,0.0491423278831822,CONTROL,0.15094078924544144,0.2841765433491398,36.617818117141724,72.7265625
11,0.0392687075416446,CONTROL,0.11623348861368338,0.2841765433491398,36.07121753692627,72.7265625
12,0.019952929975415,CONTROL,0.07056922781142592,0.2841765433491398,36.31380820274353,72.7265625
13,0.0039769944065819,CONTROL,0.0,0.2841765433491398,36.87065076828003,72.7265625
14,0.0019127970641663,CONTROL,0.010750073948823269,0.2841765433491398,37.24160957336426,72.7265625
15,0.015126297394249,CONTROL,0.11162933255588611,0.2841765433491398,36.812976598739624,72.7265625
16,0.0348736097126473,CONTROL,0.12865235074785963,0.2841765433491398,37.2632200717926,72.7265625
17,0.0480871715136998,CONTROL,0.0558303000688195,0.2841765433491398,36.71274209022522,72.7265625
18,0.0460230564354985,CONTROL,0.17705541024486432,0.2841765433491398,36.83746552467346,72.7265625
19,0.0300471694867034,CONTROL,0.0,0.2841765433491398,36.72031044960022,72.7265625
20,0.0107313747225686,CONTROL,0.041488521298163945,0.2841765433491398,37.092729330062866,72.7265625
21,0.0008576827457071,CONTROL,0.018854897766759325,0.2841765433491398,37.36432218551636,72.7265625
22,0.0069598985108854,CONTROL,0.019749091448614732,0.2841765433491398,37.205244302749634,72.7265625
23,0.0249999491579198,CONTROL,0.28343186730758135,0.2841765433491398,37.617605686187744,72.7265625
24,0.0430400334491313,CONTROL,0.11068595096438748,0.2841765433491398,36.594754457473755,72.7265625
25,0.0491423278831822,CONTROL,0.22039200543412857,0.2841765433491398,37.01778984069824,72.7265625
26,0.0392687075416446,CONTROL,0.09695192954466329,0.2841765433491398,36.905938386917114,72.7265625
27,0.019952929975415,CONTROL,0.0678504444867566,0.2841765433491398,37.01605796813965,72.7265625
28,0.003976994406582,CONTROL,0.0,0.2841765433491398,36.04478621482849,72.7265625
29,0.0019127970641663,CONTROL,0.0,0.2841765433491398,35.99726605415344,72.7265625
30,0.015126297394249,CONTROL,0.2593599465277618,0.2841765433491398,36.337199449539185,72.7265625
