ventana,rareza_real,modo,rareza_estimada_hll,umbral_dinamico,segundos_procesamiento,memoria_ram_mb
1,0.0348736097126473,CONTROL,0.06049893307935166,0.19467111382239663,37.0386106967926,74.42578125
2,0.0480871715136998,CONTROL,0.15314401354506413,0.19467111382239663,36.74106001853943,74.67578125
3,0.0460230564354985,CONTROL,0.1481686662659519,0.19467111382239663,35.99234056472778,74.67578125
4,0.0300471694867034,CONTROL,0.09940411872266607,0.19467111382239663,35.65940713882446,74.67578125
5,0.0107313747225686,CONTROL,0.02962533447654509,0.19467111382239663,35.763742446899414,74.67578125
6,0.0008576827457071,CONTROL,0.009930649231424183,0.19467111382239663,37.112735986709595,74.67578125
7,0.0069598985108854,CONTROL,0.050555987174892424,0.19467111382239663,36.07483983039856,74.67578125
8,0.0249999491579198,CONTROL,0.06390494783896655,0.19467111382239663,36.15688943862915,74.67578125
9,0.0430400334491313,CONTROL,0.1327493329953276,0.19467111382239663,36.008084297180176,74.67578125
10,0.0491423278831822,CONTROL,0.0780923919008316,0.19467111382239663,36.024394273757935,74.67578125
11,0.0392687075416446,CONTROL,0.14314785711368597,0.19467111382239663,35.8577184677124,74.67578125
12,0.019952929975415,CONTROL,0.026535451156861595,0.19467111382239663,35.714890241622925,74.67578125
13,0.0039769944065819,CONTROL,0.00980785500491221,0.19467111382239663,35.70245099067688,74.67578125
14,0.0019127970641663,CONTROL,0.0,0.19467111382239663,36.38306975364685,74.67578125
15,0.015126297394249,CONTROL,0.028202836112162327,0.19467111382239663,36.92984127998352,74.67578125
16,0.0348736097126473,CONTROL,0.10699045406585052,0.19467111382239663,36.739832162857056,74.67578125
17,0.0480871715136998,CONTROL,0.1730486755262174,0.19467111382239663,36.73088717460632,74.67578125
18,0.0460230564354985,CONTROL,0.118386265465397,0.19467111382239663,35.795592069625854,74.67578125
19,0.0300471694867034,CONTROL,0.07187124320058119,0.19467111382239663,35.79767942428589,74.67578125
20,0.0107313747225686,CONTROL,0.06373476303796358,0.19467111382239663,36.711591482162476,74.67578125
21,0.0008576827457071,CONTROL,0.0,0.19467111382239663,36.983572006225586,74.67578125
22,0.0069598985108854,CONTROL,0.027563860774713202,0.19467111382239663,37.69770097732544,74.67578125
23,0.0249999491579198,CONTROL,0.11870939257765346,0.19467111382239663,36.46611785888672,74.67578125
24,0.0430400334491313,CONTROL,0.16401186956784275,0.19467111382239663,37.38672494888306,74.67578125
25,0.0491423278831822,CONTROL,0.17634333098595836,0.19467111382239663,36.73916792869568,74.67578125
26,0.0392687075416446,CONTROL,0.13166150536095106,0.19467111382239663,35.95181608200073,74.67578125
27,0.019952929975415,CONTROL,0.03684613354992536,0.19467111382239663,36.24637746810913,74.67578125
28,0.003976994406582,CONTROL,0.0,0.19467111382239663,35.873738527297974,74.67578125
29,0.0019127970641663,CONTROL,0.0,0.19467111382239663,36.27341079711914,74.67578125
30,0.015126297394249,CONTROL,0.08644329253742233,0.19467111382239663,37.18046712875366,74.67578125
